Date,Open,High,Low,Close,Adj Close,Volume
7/20/2020,111,115.800003,105.050003,110.849998,110.849998,6831366
7/21/2020,113.5,113.900002,106.5,107.25,107.25,3426756
7/22/2020,106.650002,109.650002,105,105.699997,105.699997,2200276
7/23/2020,103,104.25,100.449997,100.449997,100.449997,3232773
7/24/2020,97.099998,98,95.449997,95.449997,95.449997,3404600
7/27/2020,99.800003,100.199997,97.400002,100.199997,100.199997,7634306
7/28/2020,105.199997,105.199997,105.199997,105.199997,105.199997,1516266
7/29/2020,110.449997,110.449997,110.449997,110.449997,110.449997,944601
7/30/2020,115.949997,115.949997,115.949997,115.949997,115.949997,512073
7/31/2020,115.800003,115.800003,110.199997,110.199997,110.199997,16129744
8/3/2020,106,109,104.699997,104.699997,104.699997,2548398
8/4/2020,101.650002,109.900002,100.150002,109.349998,109.349998,9822022
8/5/2020,109.949997,112.199997,105.650002,106.949997,106.949997,6642359
8/6/2020,111.400002,111.400002,107,107.650002,107.650002,4248003
8/7/2020,108.25,112.699997,107.050003,108.699997,108.699997,5555218
8/10/2020,112.5,112.5,107,107.400002,107.400002,3811743
8/11/2020,108.800003,108.800003,104.5,104.849998,104.849998,2732395
8/12/2020,103,108,102,104,104,3414084
8/13/2020,105.099998,107,103.75,104.5,104.5,3366424
8/14/2020,105.300003,105.949997,102.5,103.300003,103.300003,2208415
8/17/2020,103.300003,104.900002,98.599998,100.050003,100.050003,3441569
8/18/2020,100.050003,102.849998,98.650002,99.75,99.75,4812709
8/19/2020,101.5,119.699997,100,119.050003,119.050003,35878923
8/20/2020,121.699997,134.899994,113.400002,127.650002,127.650002,36660463
8/21/2020,128.699997,136.699997,113,122.349998,122.349998,29945254
8/24/2020,118,119.150002,111.599998,114.150002,114.150002,14036415
8/25/2020,122,125,117.199997,119.25,119.25,11294567
8/26/2020,119.75,120.449997,115.400002,117.449997,117.449997,6657872
8/27/2020,125,133.850006,120.300003,130.100006,130.100006,28258819
8/28/2020,135,140.350006,132.649994,135.300003,135.300003,34084792
8/31/2020,162.350006,162.350006,152,162.350006,162.350006,105278431
9/1/2020,165,167.899994,146.149994,146.149994,146.149994,24973907
9/2/2020,134.600006,136.449997,131.550003,131.550003,131.550003,5378523
9/3/2020,119.400002,121.5,118.400002,118.400002,118.400002,9688883
9/4/2020,112.5,112.5,112.5,112.5,112.5,2775812
